
<kupa742>,הראל קמ"פ מסלול שקלי,מרכזית לפיצויים,שיקלי,שקלי,47.37,0.0055,0.0186,-0.0066,0.0024,1.02,0.91,הראל פנסיה וגמל בע"מ,30559.75,0.6452,8062.21,0.1702,87.86,0.0019,0,0,540.62,0.0114,5405.74,0.1141,2564.14,0.0541,0,0,145.34,0.0031,41348.43,0.873,6017.23,0.127,47279.9,0.9982,85.76,0.0018,0,0,1151.46,0.0243,85.76,0.0018,</Row>
<kupa743>,הראל קמ"פ אג"ח עד 15% מניות,מרכזית לפיצויים,אג"ח,אג"ח,126.7,0.0058,0.0533,0.0178,0.0308,1.11,1.31,הראל פנסיה וגמל בע"מ,43720.53,0.3451,36647.44,0.2892,1163.26,0.0092,11568.64,0.0913,488.27,0.0039,21578.81,0.1703,7353.07,0.058,3869.78,0.0305,308.38,0.0024,103363.01,0.8158,23335.15,0.1842,103655.23,0.8181,23042.93,0.1819,17034,0.1344,29294.26,0.2312,12571.43,0.0992,</Row>
<kupa745>,מגדל-מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,113.57,0.0084,0.0891,0.0276,0.0517,1.97,2.22,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,19667.27,0.1732,37271.88,0.3282,10.75,0.0001,31890.77,0.2808,0,0,293.01,0.0026,22773.41,0.2005,1053.8,0.0093,611.76,0.0054,112800.93,0.9932,771.72,0.0068,82618.81,0.7275,30953.84,0.2725,50462.76,0.4443,41386.24,0.3644,26952.21,0.2373,</Row>
<kupa761>,הראל גמל מסלול מניות,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,מניות,886.86,0.0051,0.1422,0.0497,0.097,3.56,4.28,הראל פנסיה וגמל בע"מ,86421.89,0.0974,8.1,0,0,0,569284.29,0.6419,0.03,0,0,0,112052.93,0.1263,29637.62,0.0334,89450.29,0.1009,798169.96,0.9,88685.18,0.1,432192.68,0.4873,454662.47,0.5127,866696.85,0.9773,764283.32,0.8618,291791.02,0.329,</Row>
<kupa763>,הראל השתלמות מסלול מניות,קרנות השתלמות,מתמחים בניהול אקטיבי,מניות,1626.78,0.0055,0.1438,0.0517,0.0957,3.56,4.31,הראל פנסיה וגמל בע"מ,165932.93,0.102,6.98,0,0,0,1050067.25,0.6455,0.03,0,54943.15,0.0338,154714.5,0.0951,53850.89,0.0331,147259.55,0.0905,1426841.72,0.8771,199933.55,0.1229,816463.9,0.5019,810311.37,0.4981,1588200.09,0.9763,1373479.07,0.8443,538728.06,0.3312,</Row>
<kupa767>,מיטב גמל הלכה,תגמולים ואישית לפיצויים,הלכתי,הלכה יהודית,212.55,0.0054,0.0834,0.0282,0.0478,2,2.17,מיטב גמל ופנסיה בע"מ,187707.19,0.8831,0,0,0,0,0,0,0,0,0,0,22625.35,0.1064,0,0,2222.17,0.0105,210897.46,0.9922,1657.25,0.0078,179434.94,0.8442,33119.76,0.1558,95791.62,0.4507,85265.12,0.4012,39869.4,0.1876,</Row>
<kupa768>,מיטב השתלמות כהלכה,קרנות השתלמות,הלכתי,הלכה יהודית,408.27,0.0071,0.0851,0.0283,0.048,2.03,2.18,מיטב גמל ופנסיה בע"מ,356223.17,0.8725,0,0,0,0,0,0,0,0,0,0,47351.22,0.116,0,0,4698.06,0.0115,404622.99,0.9911,3649.46,0.0089,341845.67,0.8373,66426.77,0.1627,185125.81,0.4534,165028.68,0.4042,77093.47,0.1888,</Row>
<kupa769>,מיטב פיצויים שוהם כהלכה,מרכזית לפיצויים,הלכתי,הלכה יהודית,4.03,0.0071,0.0872,0.0328,0.0493,2.12,2.36,מיטב גמל ופנסיה בע"מ,1891.28,0.469,1138.78,0.2824,8.12,0.002,257.09,0.0638,0,0,0,0,675.51,0.1675,0,0,61.73,0.0153,3988.2,0.989,44.32,0.011,3362.85,0.8339,669.67,0.1661,1621.77,0.4024,1226.36,0.3043,715.92,0.1776,</Row>
<kupa801>,הפניקס מרכזית לפיצויים שקלי,מרכזית לפיצויים,שיקלי,שקלי,15.73,0.0047,0.0303,-0.0145,-0.0034,1,0.98,הפניקס פנסיה וגמל בע"מ ,12239.71,0.778,3305.18,0.2101,0,0,0,0,0,0,0,0,62.49,0.004,0,0,125.82,0.008,15607.38,0.992,125.82,0.008,15733.2,1,0,0,0,0,0,0,0,0,</Row>
<kupa804>,הפניקס מרכזית לפיצויים מחקה מדדי מניות,מרכזית לפיצויים,מדד,מניות,6.56,0.0069,0.1775,0.0712,0.1027,3.36,3.97,הפניקס פנסיה וגמל בע"מ ,6.34,0.001,0,0,0,0,1714.31,0.2612,0,0,0,0,4897.06,0.7461,0,0,-54.54,-0.0083,6497.85,0.99,65.34,0.01,4897.99,0.7463,1665.19,0.2537,6378.77,0.9724,5343.3,0.8145,2096.85,0.3196,</Row>
